"Id","Fiume","Luogo","Url","Regione"
1,"Stella","Pocenia","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-pocenia?sensor=WATER_LEVEL","Friuli"
2,"Tagliamento","Dignano","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-dignano?sensor=WATER_LEVEL","Friuli"
3,"Tagliamento","Villuzza","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-villuzza?sensor=WATER_LEVEL","Friuli"
4,"Tagliamento","Braulins","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-braulins?sensor=WATER_LEVEL","Friuli"
5,"Tagliamento","Venzone","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-venzone-tagliamento?sensor=WATER_LEVEL","Friuli"
6,"Tagliamento","Ponte Avons","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-avons?sensor=WATER_LEVEL","Friuli"
7,"Tagliamento","Invillino","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-invillino-ftagliamento?sensor=WATER_LEVEL","Friuli"
8,"Tagliamento","Caprizzi","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-caprizzi-ftagliamento?sensor=WATER_LEVEL","Friuli"
73,"Tagliamento","Forni di Sopra","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-forni-di-sopra?sensor=WATER_LEVEL","Friuli"
9,"Cellina","Lesis","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-lesis?sensor=WATER_LEVEL","Friuli"
10,"Cellina","Cimolais","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cimolais?sensor=WATER_LEVEL","Friuli"
11,"Cellina","Prescudin","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cellina-prescudin?sensor=WATER_LEVEL","Friuli"
12,"Cellina","Pentina","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-pentina?sensor=WATER_LEVEL","Friuli"
14,"Livenza","Fiaschetti","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-fiaschetti?sensor=WATER_LEVEL","Friuli"
