"Fiume","Idrometro","Regione","ASotto","Adesso","ASopra","Data","Ora","Differenza"
"Alba","Andreis","Friuli","0,15","0,52","0,25","2017-09-10","23:30:00",NA
"Arzino","Ponte Armistizio","Friuli","0,3","0,98","0,4","2017-09-10","23:30:00",NA
"Arzino","San Francesco Idro","Friuli","0,35","0,71","0,45","2017-09-10","23:30:00",NA
"Astico","Lugo di Vicenza","Veneto","0,02","0,48","0,1","2017-09-10","24:00:00",NA
"Astico","Pedescala","Veneto","0,01","0,34","0,1","2017-09-10","24:00:00",NA
"Astico","Posina a Stancari","Veneto","0,35","1","0,5","2017-09-10","24:00:00",NA
"Bacchiglione","Longare","Veneto","0,3","0,57","0,4","2017-09-10","24:00:00",NA
"Bacchiglione","Vicenza","Veneto","0,25","0,63","0,8","2017-09-10","24:00:00",NA
"Boite","Cancia","Veneto","0,1","0,43","0,3","2017-09-10","23:30:00",NA
"Brenta","Limena","Veneto","-0,45","0,35","0,1","2017-09-10","24:00:00",NA
"Brenta","Stra","Veneto","0,5","1,44","0,8","2017-09-10","24:00:00",NA
"But","Cleulis","Friuli","0,5","0,8","0,6","2017-09-10","23:30:00",NA
"But","Terme di Arta","Friuli","0,5","0,71","0,7","2017-09-10","23:30:00",NA
"Cellina","Cimolais","Friuli","0,1","0,14","0,25","2017-09-10","23:30:00",NA
"Cellina","Lesis","Friuli","-0,25","-0,1","0,2","2017-09-10","23:30:00",NA
"Cellina","Pentina","Friuli","0,3","0,56","0,7","2017-09-10","23:30:00",NA
"Cellina","Prescudin","Friuli","0,01","0,14","0,3","2017-09-10","23:30:00",NA
"Chiampo","San Vito Veronese","Veneto","0,15","0,25","0,3","2017-09-10","24:00:00",NA
"Chiarsò","Cedarchis","Friuli","0,8","0,9","0,9","2017-09-10","23:30:00",NA
"Chiarsò","Ponte Lovea","Friuli","0,01","0,41","0,25","2017-09-10","23:30:00",NA
"Colvera di Raut","Maniago","Friuli","0,01","1,69","1,3","2017-09-10","23:30:00",NA
"Colvera di Raut","Tesis","Friuli","0,05","0,19","0,25","2017-09-10","23:30:00",NA
"Cordevole","Biois di Cencenighe","Veneto","0,15","0,39","0,4","2017-09-10","24:00:00",NA
"Cordevole","Ponte Mas","Veneto","0,25","0,71","0,4","2017-09-10","24:00:00",NA
