"Fiume","Idrometro","Regione","ASotto","Adesso","ASopra","Data","Ora","Differenza","NA","NA","NA","NA","NA","NA"
"Alba","Andreis","Friuli",0,"0,15","0,54","0,25","2017-09-12","19:30:00","0,54","2017-09-12","19:30:00","0,54","2017-09-12","19:30:00"
"Arzino","Ponte Armistizio","Friuli",0,"0,3","1,29","0,4","2017-09-12","19:30:00","1,29","2017-09-12","19:30:00","1,29","2017-09-12","19:30:00"
"Arzino","San Francesco Idro","Friuli",0,"0,35","0,77","0,45","2017-09-12","19:30:00","0,77","2017-09-12","19:30:00","0,77","2017-09-12","19:30:00"
"Astico","Lugo di Vicenza","Veneto",0,"0,30","0,42","0,35","2017-09-12","19:30:00","0.42","2017-09-12","19:30:00","0.42","2017-09-12","19:30:00"
"Astico","Pedescala","Veneto",0,"0,01","0,48","0,25","2017-09-12","19:30:00","0.48","2017-09-12","19:30:00","0.48","2017-09-12","19:30:00"
"Astico","Posina a Stancari","Veneto",0,"0,35","0,89","0,5","2017-09-12","19:30:00","0.89","2017-09-12","19:30:00","0.89","2017-09-12","19:30:00"
"Bacchiglione","Longare","Veneto",0,"0,25","0,59","0,4","2017-09-12","19:30:00","0.59","2017-09-12","19:30:00","0.59","2017-09-12","19:30:00"
"Bacchiglione","Vicenza","Veneto",0,"0,25","0,6","0,8","2017-09-12","20:00:00","0.6","2017-09-12","20:00:00","0.6","2017-09-12","20:00:00"
"Boite","Cancia","Veneto",0,"0,1","0,95","0,3","2017-09-12","19:00:00","0.95","2017-09-12","19:00:00","0.95","2017-09-12","19:00:00"
"Brenta","Barziza","Veneto",0,"0,6","1,45","0,9","2017-09-12","19:30:00","1.45","2017-09-12","19:30:00","1.45","2017-09-12","19:30:00"
"Brenta","Limena","Veneto",0,"-0,42","0,94","0,5","2017-09-12","19:30:00","0.94","2017-09-12","19:30:00","0.94","2017-09-12","19:30:00"
"Brenta","Stra","Veneto",0,"0,5","1,45","0,8","2017-09-12","19:30:00","1.45","2017-09-12","19:30:00","1.45","2017-09-12","19:30:00"
"But","Cleulis","Friuli",0,"0,5","0,95","0,6","2017-09-12","19:30:00","0,95","2017-09-12","19:30:00","0,95","2017-09-12","19:30:00"
"But","Terme di Arta","Friuli",0,"0,5","0,82","0,7","2017-09-12","19:30:00","0,82","2017-09-12","19:30:00","0,82","2017-09-12","19:30:00"
"Cellina","Cimolais","Friuli",0,"0,1","0,09","0,25","2017-09-12","19:00:00","0,09","2017-09-12","19:00:00","0,09","2017-09-12","19:00:00"
"Cellina","Lesis","Friuli",0,"-0,25","0,09","0,2","2017-09-12","19:30:00","0,09","2017-09-12","19:30:00","0,09","2017-09-12","19:30:00"
"Cellina","Pentina","Friuli",0,"0,3","0,63","0,7","2017-09-12","17:00:00","0,63","2017-09-12","17:00:00","0,63","2017-09-12","17:00:00"
"Cellina","Prescudin","Friuli",0,"0,10","0,39","0,15","2017-09-12","19:30:00","0,39","2017-09-12","19:30:00","0,39","2017-09-12","19:30:00"
"Chiampo","San Vito Veronese","Veneto",0,"0,15","0,38","0,40","2017-09-12","19:30:00","0.38","2017-09-12","19:30:00","0.38","2017-09-12","19:30:00"
"Chiarsò","Cedarchis","Friuli",0,"0,7","1,02","0,9","2017-09-12","19:30:00","1,02","2017-09-12","19:30:00","1,02","2017-09-12","19:30:00"
"Chiarsò","Ponte Lovea","Friuli",0,"0","0,56","0,25","2017-09-12","19:30:00","0,56","2017-09-12","19:30:00","0,56","2017-09-12","19:30:00"
"Colvera di Raut","Maniago","Friuli",0,"-0,25","1,68","1,5","2017-09-12","19:30:00","1,68","2017-09-12","19:30:00","1,68","2017-09-12","19:30:00"
"Colvera di Raut","Tesis","Friuli",0,"0,05","0,17","0,25","2017-09-12","19:30:00","0,17","2017-09-12","19:30:00","0,17","2017-09-12","19:30:00"
"Cordevole","Biois di Cencenighe","Veneto",0,"0,15","0,72","0,4","2017-09-12","19:00:00","0.72","2017-09-12","19:00:00","0.72","2017-09-12","19:00:00"
"Cordevole","Ponte Mas","Veneto",0,"0,25","12,44","0,4","2017-09-12","19:30:00","12.44","2017-09-12","19:30:00","12.44","2017-09-12","19:30:00"
"Corno","Codroipo","Friuli",0,"0,7","1,16","0,9","2017-09-12","19:30:00","1,16","2017-09-12","19:30:00","1,16","2017-09-12","19:30:00"
"Corno","Coseano","Friuli",0,"0,05","0,33","0,3","2017-09-12","19:30:00","0,33","2017-09-12","19:30:00","0,33","2017-09-12","19:30:00"
"Cosa","Travesio","Friuli",0,"0,6","1,68","0,7","2017-09-12","19:30:00","1,68","2017-09-12","19:30:00","1,68","2017-09-12","19:30:00"
