"Fiume","Idrometro","Regione","ASotto","Adesso","ASopra","Data","Ora"
"Alba","Andreis","Friuli","0,15","0,3","2","2017-06-29","23:30:00"
"Arzino","Ponte Armistizio","Friuli","0,3","0,88","2","2017-06-29","23:30:00"
"Arzino","San Francesco Idro","Friuli","0,35","0,63","2","2017-06-29","23:30:00"
"Astico","Lugo di Vicenza","Veneto","0,02","0,29","2","2017-06-29","24:00:00"
"Astico","Pedescala","Veneto","0,01","0,22","2","2017-06-29","24:00:00"
"Astico","Posina a Stancari","Veneto","0,35","0,43","2","2017-06-29","24:00:00"
"Bacchiglione","Longare","Veneto","0,3","0,43","2","2017-06-29","24:00:00"
"Bacchiglione","Vicenza","Veneto","-1","0,64","2","2017-06-29","24:00:00"
"Boite","Cancia","Veneto","0,1","0,43","2","2017-06-29","24:00:00"
"Brenta","Barziza","Veneto","-1","1,31","2","2017-06-29","24:00:00"
"Brenta","Limena","Veneto","-0,45","0,9","2","2017-06-29","24:00:00"
"Brenta","Stra","Veneto","0,5","1,31","2","2017-06-29","24:00:00"
"But","Cleulis","Friuli","0,5","0,69","2","2017-06-29","23:30:00"
"But","Terme di Arta","Friuli","0,5","0,62","2","2017-06-29","23:30:00"
"Cellina","Cimolais","Friuli","0,1","0,18","2","2017-06-29","23:00:00"
"Cellina","Lesis","Friuli","-0,25","-0,14","2","2017-06-29","23:00:00"
"Cellina","Pentina","Friuli","0,3","1,93","2","2017-06-29","17:30:00"
"Cellina","Prescudin","Friuli","0,01","0,18","2","2017-06-29","23:00:00"
"Chiampo","San Vito Veronese","Veneto","0,15","0,28","2","2017-06-29","24:00:00"
"Chiarsò","Cedarchis","Friuli","0,8","0,67","2","2017-06-29","23:30:00"
"Chiarsò","Ponte Lovea","Friuli","0,01","0,24","2","2017-06-29","23:30:00"
"Colvera di Raut","Maniago","Friuli","0,01","1,49","2","2017-06-29","23:00:00"
"Colvera di Raut","Tesis","Friuli","0,05","0,16","2","2017-06-29","23:00:00"
"Cordevole","Biois di Cencenighe","Veneto","-1","0,37","2","2017-06-29","24:00:00"
"Cordevole","Ponte Mas","Veneto","0,25","0,4","2","2017-06-29","24:00:00"
"Corno","Codroipo","Friuli","0,7","1,22","2","2017-06-30","00:00:00"
"Corno","Coseano","Friuli","0,05","0,42","2","2017-06-30","00:00:00"
"Cosa","Travesio","Friuli","0,6","1,1","2","2017-06-29","23:00:00"
"Fella","Chiusaforte","Friuli","-0,7","0,73","2","2017-06-29","23:30:00"
"Fella","Dogna","Friuli","-1,2","-0,17","2","2017-06-29","23:30:00"
"Fella","Moggio Udinese","Friuli","0,4","1,06","2","2017-06-29","23:30:00"
"Fella","Resiutta","Friuli","1,2","1,6","3","2017-06-29","23:30:00"
"Livenza","Fiaschetti","Friuli","1,5","2,52","3","2017-06-29","23:00:00"
"Livenza","Sacile","Friuli","2","2,98","3","2017-06-29","23:00:00"
"Livenza","Tremeacque Livenza","Friuli","1,5","2,95","2","2017-06-29","23:00:00"
"Livenza","Meduna di Livenza","Veneto","-1,6","-0,46","5","2017-06-29","24:00:00"
"Livenza","Portobuffolè","Veneto","-1,6","-0,47","2","2017-06-29","24:00:00"
"Meduna","Colle","Friuli","-2","-1,56","1,3","2017-06-29","23:00:00"
"Meduna","Meduno","Friuli","2","2,37","4","2017-06-29","23:00:00"
"Meduna","Pordenone","Friuli","16","16,41","20","2017-06-29","23:00:00"
"Meduna","Tremeacque Meduna","Friuli","1,5","3,54","5","2017-06-29","23:00:00"
"Meschio","Ponte della Muda","Friuli","0,2","0,39","2","2017-06-29","23:00:00"
"Meschio","Borgo Campion","Veneto","-1","0,78","2","2017-06-29","24:00:00"
"Meschio","Cordignano","Veneto","-1","-0,05","2","2017-06-29","24:00:00"
"Monticano","Fontanelle","Veneto","-1","0,29","2","2017-06-29","24:00:00"
"Monticano","Gorgo al Monticano","Veneto","-1,2","-0,46","2","2017-06-29","24:00:00"
"Monticano","Oderzo","Veneto","-1","0,62","2","2017-06-29","24:00:00"
"Monticano","Vazzola","Veneto","-1","-0,52","2","2017-06-29","24:00:00"
"Muson","Castefranco Veneto","Veneto","0,1","0,27","2","2017-06-29","24:00:00"
"Natisone","Azzida","Friuli","0,25","0,54","2","2017-06-30","00:00:00"
"Natisone","Cividale","Friuli","0,05","0,62","2","2017-06-30","00:00:00"
"Natisone","Pulfero","Friuli","0,25","0,89","2","2017-06-30","00:00:00"
"Piave","Belluno","Veneto","1,1","1,32","3","2017-06-29","24:00:00"
"Piave","Nervesa","Veneto","0,15","0,62","0.5","2017-06-29","24:00:00"
"Piave","Ponte della Lasta","Veneto","0,3","0,54","2","2017-06-29","24:00:00"
"Piave","Segusino","Veneto","-1,2","-0,76","-0,5","2017-06-29","24:00:00"
"Po","Ficarolo","Veneto","-5","-5,11","2","2017-06-29","24:00:00"
"Settimana","Briglia","Friuli","0,05","0,06","2","2017-06-29","23:00:00"
