"Id";"Fiume";"Luogo";"Url";"Regione";"Differenza";"Adesso";"Data";"Ora";"Minimo";"DataMin";"OraMin";"Massimo";"DataMax";"OraMax"
1;"Stella";"Pocenia";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-pocenia?sensor=WATER_LEVEL";"Friuli";0.01;"2,5";"2017-09-12";"23:30:00";2.49;"2017-09-12";"22:30:00";2.5;"2017-09-12";"23:30:00"
2;"Tagliamento";"Dignano";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-dignano?sensor=WATER_LEVEL";"Friuli";0.1;"1,14";"2017-09-12";"23:30:00";1.04;"2017-09-12";"22:30:00";1.14;"2017-09-12";"23:30:00"
3;"Tagliamento";"Villuzza";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-villuzza?sensor=WATER_LEVEL";"Friuli";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;"Tagliamento";"Braulins";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-braulins?sensor=WATER_LEVEL";"Friuli";-0.04;"0,82";"2017-09-12";"23:30:00";0.82;"2017-09-12";"23:30:00";0.86;"2017-09-12";"22:00:00"
5;"Tagliamento";"Venzone";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-venzone-tagliamento?sensor=WATER_LEVEL";"Friuli";-0.21;"0,77";"2017-09-12";"23:30:00";0.77;"2017-09-12";"23:30:00";0.98;"2017-09-12";"22:30:00"
6;"Tagliamento";"Ponte Avons";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-avons?sensor=WATER_LEVEL";"Friuli";-0.02;"-0,24";"2017-09-12";"23:30:00";-0.24;"2017-09-12";"23:30:00";-0.22;"2017-09-12";"22:30:00"
7;"Tagliamento";"Invillino";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-invillino-ftagliamento?sensor=WATER_LEVEL";"Friuli";-0.07;"2,06";"2017-09-12";"23:30:00";2.06;"2017-09-12";"23:30:00";2.13;"2017-09-12";"22:30:00"
8;"Tagliamento";"Caprizzi";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-caprizzi-ftagliamento?sensor=WATER_LEVEL";"Friuli";-0.06;"1,13";"2017-09-12";"23:30:00";1.13;"2017-09-12";"23:30:00";1.19;"2017-09-12";"22:30:00"
73;"Tagliamento";"Forni di Sopra";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-forni-di-sopra?sensor=WATER_LEVEL";"Friuli";-0.06;"0,27";"2017-09-12";"23:30:00";0.27;"2017-09-12";"23:30:00";0.33;"2017-09-12";"22:30:00"
9;"Cellina";"Lesis";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-lesis?sensor=WATER_LEVEL";"Friuli";-0.02;"0,03";"2017-09-12";"23:30:00";0.03;"2017-09-12";"23:30:00";0.05;"2017-09-12";"22:30:00"
10;"Cellina";"Cimolais";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cimolais?sensor=WATER_LEVEL";"Friuli";0.01;"0,1";"2017-09-12";"23:30:00";0.09;"2017-09-12";"22:30:00";0.1;"2017-09-12";"23:30:00"
11;"Cellina";"Prescudin";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cellina-prescudin?sensor=WATER_LEVEL";"Friuli";-0.02;"0,25";"2017-09-12";"23:30:00";0.25;"2017-09-12";"23:30:00";0.27;"2017-09-12";"22:30:00"
12;"Cellina";"Pentina";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-pentina?sensor=WATER_LEVEL";"Friuli";0.01;"0,6";"2017-09-12";"23:30:00";0.59;"2017-09-12";"22:30:00";0.6;"2017-09-12";"23:30:00"
14;"Livenza";"Fiaschetti";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-fiaschetti?sensor=WATER_LEVEL";"Friuli";-0.01;"2,79";"2017-09-12";"23:30:00";2.79;"2017-09-12";"23:30:00";2.8;"2017-09-12";"22:30:00"
13;"Livenza";"Sacile";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-sacile?sensor=WATER_LEVEL";"Friuli";-0.03;"3,32";"2017-09-12";"23:30:00";3.32;"2017-09-12";"23:30:00";3.35;"2017-09-12";"22:30:00"
17;"Livenza";"Portobuffolè";"http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=400&sr=1&idsr=300006788";"Veneto";0.02;"1,22";"2017-09-12";"23:00:00";1.2;"2017-09-12";"22:00:00";1.22;"2017-09-12";"23:00:00"
15;"Livenza";"Tremeacque Livenza";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tremeacque-livenza?sensor=WATER_LEVEL";"Friuli";0.15;"4,21";"2017-09-12";"23:30:00";4.06;"2017-09-12";"21:00:00";4.21;"2017-09-12";"23:30:00"
16;"Livenza";"Meduna di Livenza";"http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=306&sr=1&idsr=300005783";"Veneto";0.05;"0,35";"2017-09-12";"23:00:00";0.3;"2017-09-12";"22:00:00";0.35;"2017-09-12";"23:00:00"
51;"Meschio";"Ponte della Muda";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-della-muda?sensor=WATER_LEVEL";"Friuli";-0.01;"0,37";"2017-09-12";"23:30:00";0.37;"2017-09-12";"23:30:00";0.38;"2017-09-12";"21:00:00"
55;"Settimana";"Briglia";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-settimana-briglia?sensor=WATER_LEVEL";"Friuli";-0.02;"0,01";"2017-09-12";"23:30:00";0.01;"2017-09-12";"23:30:00";0.03;"2017-09-12";"19:30:00"
18;"Meduna";"Meduno";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-meduno?sensor=WATER_LEVEL";"Friuli";0.02;"2,98";"2017-09-12";"23:30:00";2.96;"2017-09-12";"22:30:00";2.98;"2017-09-12";"23:30:00"
19;"Meduna";"Colle";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-colle?sensor=WATER_LEVEL";"Friuli";0.06;"-1,6";"2017-09-12";"23:30:00";-1.66;"2017-09-12";"22:30:00";-1.6;"2017-09-12";"23:30:00"
20;"Meduna";"Pordenone";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-pordenone-meduna?sensor=WATER_LEVEL";"Friuli";0;"16,82";"2017-09-12";"23:30:00";16.82;"2017-09-12";"23:30:00";16.82;"2017-09-12";"23:30:00"
21;"Meduna";"Tremeacque Meduna";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tremeacque-meduna?sensor=WATER_LEVEL";"Friuli";0.05;"4,8";"2017-09-12";"23:30:00";4.75;"2017-09-12";"22:30:00";4.8;"2017-09-12";"23:30:00"
22;"Colvera di Raut";"Maniago";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-maniago?sensor=WATER_LEVEL";"Friuli";-0.01;"1,63";"2017-09-12";"23:30:00";1.63;"2017-09-12";"23:30:00";1.64;"2017-09-12";"22:30:00"
23;"Colvera di Raut";"Tesis";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tesis-tcolvera?sensor=WATER_LEVEL";"Friuli";0.05;"0,22";"2017-09-12";"23:30:00";0.17;"2017-09-12";"19:30:00";0.22;"2017-09-12";"23:30:00"
25;"Alba";"Andreis";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-torrente-alba?sensor=WATER_LEVEL";"Friuli";-0.1;"0,44";"2017-09-12";"23:30:00";0.44;"2017-09-12";"23:30:00";0.54;"2017-09-12";"19:30:00"
26;"Cosa";"Travesio";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-travesio?sensor=WATER_LEVEL";"Friuli";-0.03;"1,53";"2017-09-12";"23:30:00";1.53;"2017-09-12";"23:30:00";1.56;"2017-09-12";"22:30:00"
27;"Arzino";"San Francesco Idro";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-sfrancesco-idro?sensor=WATER_LEVEL";"Friuli";-0.02;"0,71";"2017-09-12";"23:30:00";0.71;"2017-09-12";"23:30:00";0.73;"2017-09-12";"22:30:00"
28;"Arzino";"Ponte Armistizio";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-armistizio?sensor=WATER_LEVEL";"Friuli";-0.01;"1,1";"2017-09-12";"23:30:00";1.1;"2017-09-12";"23:30:00";1.11;"2017-09-12";"22:30:00"
29;"Fella";"Dogna";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-dogna?sensor=WATER_LEVEL";"Friuli";-0.1;"0,47";"2017-09-12";"23:30:00";0.47;"2017-09-12";"23:30:00";0.57;"2017-09-12";"22:30:00"
30;"Fella";"Chiusaforte";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-chiusaforte?sensor=WATER_LEVEL";"Friuli";-0.03;"0,6";"2017-09-12";"23:30:00";0.6;"2017-09-12";"23:30:00";0.63;"2017-09-12";"22:30:00"
31;"Fella";"Resiutta";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-resiutta?sensor=WATER_LEVEL";"Friuli";-0.02;"1,83";"2017-09-12";"23:30:00";1.83;"2017-09-12";"23:30:00";1.85;"2017-09-12";"22:30:00"
32;"Fella";"Moggio Udinese";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-moggio-udinese?sensor=WATER_LEVEL";"Friuli";-0.04;"1,21";"2017-09-12";"23:30:00";1.21;"2017-09-12";"23:30:00";1.25;"2017-09-12";"22:30:00"
33;"Chiarsò";"Ponte Lovea";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-lovea?sensor=WATER_LEVEL";"Friuli";0.01;"0,5";"2017-09-12";"23:30:00";0.49;"2017-09-12";"22:30:00";0.5;"2017-09-12";"23:30:00"
34;"Chiarsò";"Cedarchis";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cedarchis?sensor=WATER_LEVEL";"Friuli";0.02;"1";"2017-09-12";"23:30:00";0.98;"2017-09-12";"22:30:00";1;"2017-09-12";"23:30:00"
35;"But";"Cleulis";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cleulis?sensor=WATER_LEVEL";"Friuli";-0.01;"0,94";"2017-09-12";"23:30:00";0.94;"2017-09-12";"23:30:00";0.95;"2017-09-12";"22:30:00"
36;"But";"Terme di Arta";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-terme-di-arta?sensor=WATER_LEVEL";"Friuli";0;"0,79";"2017-09-12";"23:30:00";0.79;"2017-09-12";"23:30:00";0.79;"2017-09-12";"23:30:00"
37;"Torre";"Tarcento";"http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tarcento?sensor=WATER_LEVEL";"Friuli";-0.04;"0,25";"2017-09-12";"23:30:00";0.25;"2017-09-12";"23:30:00";0.29;"2017-09-12";"22:30:00"
